'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'9,'Text 50,"'DBM phase, the LS mean (SEM) change from baseline in DUCS score at Week 26 was 1.9 (1.90) VS 4.8 (1.67) for patients receiving low-dose VS high-dose multimatrix mesalamine. The difference in LS mean was 3.0 (95% CI: -1.4 to 7.4; p = 0.18; Fig. 4B).",'98,'98.19335938
'9,'Text 51,"'In the DBA phase, 10 (37.0%) vs 16 (61.5%) patients in the low-dose VS high-dose groups had an improve- ment in the PUCAI score of ≥20 points at Week 8. The difference between treatment groups was 24.5% (95% CI: -1.6 to 50.6; p = 0.07; Fig. 4C). In the DBM phase, 29 (69.0%) VS 27 (60.0%) patients in the low-dose vs high-dose groups were in remission (PUCAI score <10 points) at Week 26. The difference between treatment groups was -9.0% (95% CI: -29.1 to 11.0; p = 0.19; Fig. 4C).",'99,'97.07031250
'9,'Text 52,"'Overall, 246 TEAEs were reported in 73 patients (69.5%); 23 TEAEs in 14 patients (13.3%) were consid- ered related to the study drug (Table 3). Most patients experienced TEAEs that were mild (n = 38; 36.2%) or moderate (n = 28; 26.7%); severe TEAEs occurred in seven patients (6.7%). Eighteen serious TEAEs were reported in 12 patients (11.4%), and 29 TEAEs leading to discontinuation of the study drug were reported in 28 patients (26.7%; Table 3). Overall, more serious TEAEs (9/18) were reported as gastrointestinal disorders compared with those of other systems; the most com- mon serious TEAEs were progression and/or exacerba- tion or flare of UC (3.8%) and anaemia (1.9%). No serious TEAEs were considered related to the study drug, and no deaths occurred during the study.",'100,'95.65429688
'9,'Text 53,"'In the DBA phase, the proportions of patients with TEAEs were similar for the low-dose (63.0%) and high- dose (57.7%) groups (Table 3). Among patients receiving low-dose multimatrix mesalamine, serious TEAEs were reported in 14.8% of patients. TEAEs leading to study drug discontinuation were reported in",'101,'94.97070313
'9,'Text 54,"'33.3% of patients, and one patient (3.7%) had a single TEAE of dizziness that was considered related to the study drug. Among patients receiving high-dose multi- matrix mesalamine, no serious TEAEs, TEAEs leading to discontinuation, or TEAEs related to the study drug were reported (Table 3). In the OLA phase, TEAEs were reported in 72.2% of patients who received high-dose multimatrix mesalamine (Table 3). Overall, 16.7% of patients experienced serious TEAEs, and 11.1% of pa- tients experienced TEAEs leading to study drug discontinuation; no patient had TEAEs that were considered related to the study drug (Table 3). In the DBM phase, similar proportions of patients in the low- dose and high-dose groups reported any TEAEs (64.3% and 60.0%, respectively), serious TEAEs (7.1% and 4.4%), TEAEs leading to discontinuation of the study drug (19.0% and 20.0%), and TEAEs considered related to the study drug (16.7% and 13.3%; Table 3).",'102,'97.85156250
'9,'Text 55,"'Frequently occurring (≥5% for the DBA or DBM phases and ≥10% for the OLA phase) TEAEs are shown in Table 4. The most common TEAEs by preferred term overall were UC (22.9%), abdominal pain (9.5%), and nasopharyngitis (8.6%).",'103,'90.72265625
'9,'Section header 15,"'Discussion",'104,'91.69921875
'9,'Text 56,"'This study demonstrated that once-daily dosing of multimatrix mesalamine was effective in inducing and maintaining clinical response in paediatric patients with mild-to-moderate UC. A higher clinical response rate was observed in the high-dose (65.4%) compared with the low-dose (37.0%) group after 8 weeks of the DBA phase, whereas maintenance of clinical response was similar between the high-dose (53.3%) and low-dose (54.8%) groups after 26 weeks of double-blind treat- ment. Additionally, central and local readings confirmed",'105,'98.29101563
'9,'Footer 10,"'www.thelancet.com Vol 65 November, 2023",'106,'89.64843750
'9,'Page number 9,"'9",'107,'87.01171875
'10,'Title 6,"'Articles",'108,'47.75390625
'10,'Figure 6,"",'109,'41.40625000
