'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'12,'Text 122 - Part of List 7,"'HBV: hepatitis B surface antigen (HBs Ag) positive (+), or detected sensitivity on the HBV deoxyribonucleic acid (DNA) polymerase chain reaction (PCR) qualitative test for hepatitis B core antibody (HBc Ab) positive subjects;",'146,'97.94921875
'12,'Text 123 - Part of List 7,"'Hepatitis C Virus (HCV): HCV ribonucleic acid (RNA) detectable in any subject with anti-HCV antibody (HCV Ab).",'147,'97.02148438
'12,'Text 124 - Part of List 7,"'Note: QuantiFERON®-TB test or Purified Protein Derivative (PPD) skin test, or both, according to local guidelines, will be performed during screening. QuantiFERON-TB test is preferred for subjects who received BCG vaccination or were exposed to other Mycobacteria species. Subjects with a positive test result (or indeterminate results that have been repeated) may participate in the study if further work up (according to local practice/guidelines) establishes conclusively that the subject has no evidence of active tuberculosis. Subjects with a history of active TB who have documented completion of a full course of anti-TB therapy may be allowed to enter the study after consultation with the AbbVie TA MD. If latent TB is established, TB prophylaxis/treatment should be initiated and maintained according to local country guidelines.",'148,'98.09570313
'12,'Text 125 - Part of List 7,"'23. Subject with a previous history of dysplasia of the gastrointestinal tract or found to have dysplasia, other than completely removed low- grade dysplastic lesions, in any biopsy performed during the screening endoscopy.",'149,'94.33593750
'12,'Text 126 - Part of List 7,"'24. Subject with a known history of lymphoproliferative disease, including lymphoma, or signs and symptoms suggestive of possible lymphoproliferative disease, such as lymphadenopathy and/or splenomegaly.",'150,'95.60546875
'12,'Text 127 - Part of List 7,"'25. Subject with history of malignancy other than a successfully treated nonmetastatic cutaneous squamous cell or basal cell carcinoma or localized carcinoma in situ of the cervix.",'151,'96.48437500
'12,'Text 128 - Part of List 7,"'26. Subject who has severe, progressive, or uncontrolled renal, hepatic, hematological, endocrine, disorder or symptoms thereof.",'152,'95.36132813
'12,'Text 129 - Part of List 7,"'27. Female subjects who are pregnant, breastfeeding, or is considering becoming pregnant during the study or for approximately 140 days after the last dose of study drug.",'153,'96.77734375
'12,'Footer 11,"'© 2024 American Medical Association. All rights reserved.",'154,'88.81835938
'13,'List 8,"",'155,'96.48437500
'13,'Text 130 - Part of List 8,"'28. Subject who has any condition, including any physical, psychological, or psychiatric condition, which in the opinion of the investigator, would compromise the safety of the subject or the quality of the data and renders the subject an unsuitable candidate for the study.",'156,'98.29101563
'13,'Text 131 - Part of List 8,"'29. Screening laboratory and other analyses show any of the following abnormal results:",'157,'97.60742188
'13,'Text 132 - Part of List 8,"'Aspartate transaminase (AST), alanine transaminase (ALT) > 2 X upper limit of the reference range;",'158,'95.75195313
'13,'Text 133 - Part of List 8,"'White blood cell (WBC) count < 3.0 X 10⁹/L;",'159,'95.60546875
'13,'Text 134 - Part of List 8,"'Total bilirubin ≥ 2 mg/dL; except for subjects with isolated elevation of indirect bilirubin relating to Gilbert's syndrome;",'160,'92.43164063
'13,'Text 135 - Part of List 8,"'Estimated glomerular filtration rate by simplified 4-variable Modification of Diet in Renal Disease (MDRD) formula < 30 mL/min/1.73 m²;",'161,'95.06835938
'13,'Text 136 - Part of List 8,"'Hemoglobin < 8 g/dL;",'162,'94.28710938
'13,'Text 137 - Part of List 8,"'Platelets < 100,000/µL;",'163,'95.26367188
'13,'Text 138 - Part of List 8,"'Positive serum pregnancy test at the screening visit or positive urine pregnancy test at the baseline visit;",'164,'93.40820313
'13,'Text 139 - Part of List 8,"'Laboratory values can be re-tested once during the screening period. If the retested lab value(s) remain(s) exclusionary, the subject will be considered a screen failure. Redrawing samples if previous samples were unable to be analyzed would not count as a retest since the previous result was never obtained.",'165,'93.40820313
'13,'Text 140 - Part of List 8,"'30. No known active COVID-19 infection. If a subject has signs/symptoms suggestive of COVID-19, they should undergo molecular (ie, PCR) testing to rule out SARS-CoV-2 infection.",'166,'51.95312500
'13,'Text 141 - Part of List 8,"'Subjects who do not meet COVID-19 eligibility criteria must be screen failed and may only rescreen after they meet the following COVID- 19 criteria:",'167,'63.23242188
'13,'Text 142 - Part of List 8,"'Symptomatic subjects: At least 14 days have passed since recovery, defined as resolution of fever without use of antipyretics and improvement in symptoms",'168,'90.91796875
'13,'Footer 12,"'© 2024 American Medical Association. All rights reserved.",'169,'75.19531250
'14,'Text 143,"'Asymptomatic subjects: At least 14 days have passed since the first positive molecular (ie, PCR) test result",'170,'80.12695313
'14,'Footer 13,"'© 2024 American Medical Association. All rights reserved.",'171,'75.00000000
'15,'Text 144,"'eMethods 3. Supplementary Methods for the Phase 3 Induction and Maintenance Studies",'172,'43.31054688
'15,'Text 145,"'Concomitant Therapy",'173,'65.57617188
'15,'Text 146,"'Patients taking conventional therapies, such as aminosalicylates, immunosuppressants, and/or ulcerative colitis-related antibiotics at baseline continued their concomitant treatment for the duration of the phase 3 induction study.",'174,'81.34765625
'15,'Text 147,"'Decreasing doses were prohibited during the study, except in the event of moderately to severely active treatment-related toxicities. Patients taking corticosteroids at baseline were required to continue their concomitant treatment at the baseline dose for the duration of induction. Patients who entered the 12-week blinded extended treatment period of induction were permitted to taper corticosteroids at the discretion of the investigator. While stopping the taper was permitted, dose increases above the baseline dose was prohibited.",'175,'92.28515625
